question_id,question,question_type,ground_truth_url,retrieved_urls,generated_answer,reference_answer,mrr,latency_seconds,rouge_l,bert_score
1,In what year did Russia become a member of the United Nations Security Council?,factual,https://en.wikipedia.org/wiki/Russia,"['https://en.wikipedia.org/wiki/Russia', 'https://en.wikipedia.org/wiki/Russia', 'https://en.wikipedia.org/wiki/Cold_War', 'https://en.wikipedia.org/wiki/Russia', 'https://en.wikipedia.org/wiki/Kofi_Annan', 'https://en.wikipedia.org/wiki/Russia', 'https://en.wikipedia.org/wiki/World_War_II', 'https://en.wikipedia.org/wiki/Kofi_Annan', 'https://en.wikipedia.org/wiki/Kofi_Annan', 'https://en.wikipedia.org/wiki/Cold_War']",,,1.0,0.431,0.0,0.0
2,How many years after winning the Grand Prize did Netflix change its recommendation engine?,comparative,https://en.wikipedia.org/wiki/Machine_learning,"['https://en.wikipedia.org/wiki/Machine_learning', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Artificial_intelligence', 'https://en.wikipedia.org/wiki/Google', 'https://en.wikipedia.org/wiki/Google', 'https://en.wikipedia.org/wiki/Jeff_Bezos', 'https://en.wikipedia.org/wiki/Frances_Arnold', 'https://en.wikipedia.org/wiki/Internet_science', 'https://en.wikipedia.org/wiki/Artificial_intelligence', 'https://en.wikipedia.org/wiki/The_Beatles']",2,2,1.0,0.136,0.0,0.4921
3,Why did Pauli write the article?,inferential,https://en.wikipedia.org/wiki/Wolfgang_Pauli,"['https://en.wikipedia.org/wiki/Wolfgang_Pauli', 'https://en.wikipedia.org/wiki/Wolfgang_Pauli', 'https://en.wikipedia.org/wiki/Wolfgang_Pauli', 'https://en.wikipedia.org/wiki/Wolfgang_Pauli', 'https://en.wikipedia.org/wiki/Wolfgang_Pauli', 'https://en.wikipedia.org/wiki/Wolfgang_Pauli', 'https://en.wikipedia.org/wiki/Wolfgang_Pauli', 'https://en.wikipedia.org/wiki/Wolfgang_Pauli', 'https://en.wikipedia.org/wiki/Paul_Dirac', 'https://en.wikipedia.org/wiki/Wolfgang_Pauli']",to review the theory of relativity,review the theory of relativity for the Encyclopedia of Mathematical Sciences,1.0,0.585,0.5882,0.8628
4,What is the difference between a diesel engine and a gasoline engine?,comparative,https://en.wikipedia.org/wiki/Internal_combustion_engine,"['https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Internal_combustion_engine', 'https://en.wikipedia.org/wiki/Internal_combustion_engine']",diesel engine,"diesel engines are generally heavier, noisier, and more powerful at lower speeds",1.0,0.66,0.2857,0.7673
5,"Who argued that because of the gold standard, the Federal Reserve's hands were tied?",inferential,https://en.wikipedia.org/wiki/Milton_Friedman,"['https://en.wikipedia.org/wiki/Milton_Friedman', 'https://en.wikipedia.org/wiki/Milton_Friedman', 'https://en.wikipedia.org/wiki/Milton_Friedman', 'https://en.wikipedia.org/wiki/Milton_Friedman', 'https://en.wikipedia.org/wiki/Milton_Friedman', 'https://en.wikipedia.org/wiki/Milton_Friedman', 'https://en.wikipedia.org/wiki/Milton_Friedman', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/Milton_Friedman']",John F. Kennedy,Friedman and Schwartz,1.0,0.209,0.0,0.5363
6,What was Garca Márquez's agent's name?,comparative,https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez,"['https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez']",Gabriel Eligio Garca,Carmen Balcells,1.0,0.301,0.0,0.7636
7,"Dynamic web pages are used when each user may require completely different information, for example, bank w?",inferential,https://en.wikipedia.org/wiki/World_Wide_Web,"['https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/World_Wide_Web']",websites,w,1.0,0.218,0.0064,0.5911
8,Who was the principal of Somerville College?,multi_hop,https://en.wikipedia.org/wiki/Dorothy_Hodgkin,"['https://en.wikipedia.org/wiki/Dorothy_Hodgkin', 'https://en.wikipedia.org/wiki/Linus_Pauling', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Jane_Austen', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/London', 'https://en.wikipedia.org/wiki/Desmond_Tutu']",Margery Fry,Margery Fry,1.0,0.217,1.0,1.0
9,What is a common case in Streptococcus pneumoniae?,factual,https://en.wikipedia.org/wiki/Penicillin,"['https://en.wikipedia.org/wiki/Penicillin', 'https://en.wikipedia.org/wiki/Bacteria', 'https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/DNA_sequencing', 'https://en.wikipedia.org/wiki/Penicillin', 'https://en.wikipedia.org/wiki/Vaccination', 'https://en.wikipedia.org/wiki/Penicillin', 'https://en.wikipedia.org/wiki/Bacteria', 'https://en.wikipedia.org/wiki/Antibiotic', 'https://en.wikipedia.org/wiki/Penicillin']",PBP alterations,mutation in the gene for PBP,1.0,0.24,0.25,0.8264
10,Who sent Beethoven a heavy gold medallion?,comparative,https://en.wikipedia.org/wiki/Ludwig_van_Beethoven,"['https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven']",Diabelli,Diabelli,1.0,0.192,1.0,1.0
